Country,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling
The former Yugoslav republic of Macedonia,Developing,75.1,15,0,1.23,0,98,7,58.5,0,97,6.76,95,0.1,,,0.739,12.9
Namibia,Developing,57.4,41,3,5.73,35.80978512,,469,24.5,4,8,6.11,79,22.8,257.99557,1899257,0.559,11.5
Malta,Developed,78.2,75,0,5.73,1552.740429,,7,63.4,0,95,7.86,95,0.1,11843.9392,395969,0.786,13.8
Gambia,Developing,57.3,296,3,2.51,0,95,0,2.3,6,88,4.35,87,2.9,,,0.404,7.6
Pakistan,Developing,64.4,178,367,0.03,3.912744517,75,2801,2.1,459,75,3.35,75,0.1,95.4327931,16332974,0.505,6.7
Bahamas,Developing,75,162,0,9.34,0,95,0,62,0,97,7.63,98,0.1,,,0.788,12.6
Lao People's Democratic Republic,Developing,64.9,23,9,0.01,0,87,71,2.1,12,86,2,87,0.3,,,0.563,10.4
Afghanistan,Developing,55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,117.49698,2966463,0.34,5.9
United Arab Emirates,Developing,77.1,75,1,,0,99,347,64.2,1,99,,99,0.1,3911.74689,,0.836,13.3
Sweden,Developed,79.6,73,0,6.2,3689.7273,,59,52.8,0,99,8.18,99,0.1,29283.55,887219,0.873,15.9
Lithuania,Developed,71.6,24,0,12.1,76.36187737,94,1,58.1,0,9,5.67,94,0.1,676.966998,337775,0.792,16.3
Libya,Developing,71.1,146,3,0.01,29.13434871,91,3890,54,3,93,4.57,93,0.1,375.442638,,0.736,15.8
Botswana,Developing,46.4,693,2,5.51,299.3671252,9,59,31.6,4,96,4.65,96,31.9,4163.6596,184339,0.567,11.8
Zambia,Developing,58,363,30,2.47,184.3649102,83,15754,2.7,45,8,4.41,83,6.8,1463.213573,138533,0.533,11.8
Lithuania,Developed,73.6,165,0,,0,94,50,62.4,0,93,,93,0.1,14252.42853,29491,0.846,16.5
The former Yugoslav republic of Macedonia,Developing,74.7,18,0,1.47,0,9,217,57.4,0,95,6.83,95,0.1,,,0.732,13
Czechia,Developed,74.7,126,0,13.22,0,,9,59,0,98,6.31,98,0.1,,,,
Sri Lanka,Developing,73.9,146,5,1.69,72.4280894,32,65,15.6,5,98,3.95,99,0.1,989.4547732,1983,0.697,12.7
Afghanistan,Developing,57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,272.56377,2589345,0.405,8.1
Japan,Developed,82.7,66,3,7.11,7313.175418,,11015,25.9,4,98,8.6,98,0.1,39339.29757,12863,0.88,15
Venezuela (Bolivarian Republic of),Developing,72.4,172,10,6.3,0,72,0,55.3,12,86,4.93,68,0.1,,,0.688,11.6
Trinidad and Tobago,Developing,69.7,187,0,6.37,136.8836683,89,0,39.3,0,9,4.82,88,0.7,1653.1844,13926,0.76,12.4
Haiti,Developing,58.9,35,19,6.22,60.77815868,,159,34.8,27,52,5.63,45,5,413.7383164,8692567,0.443,7.9
Republic of Korea,Developing,77.1,99,3,9.55,0,92,62,25.7,4,99,4.61,97,0.1,,,,
Armenia,Developing,72.6,134,1,2.86,57.17810403,91,40,47.8,1,96,5.4,94,0.1,783.261699,333897,0.645,10.8
Slovenia,Developed,76,122,0,11.9,161.4473853,,0,51.2,0,93,8.26,91,0.1,1227.73677,1988925,0.818,14.6
Iraq,Developing,77,144,32,0.17,285.119726,77,15,56.5,39,8,3.32,79,0.1,5854.614497,3172753,0.649,10.4
Lao People's Democratic Republic,Developing,59.8,259,12,3.41,0,5,1810,13.8,17,52,4.91,49,0.1,,,0.477,8.3
Kenya,Developing,55.3,388,68,1.76,52.60385429,8,1847,16.9,104,77,4.24,8,10.3,697.66385,37525,0.483,9.7
Austria,Developed,88,73,0,12.04,8272.306757,89,68,55.7,0,89,1.94,89,0.1,51126.74139,8391643,0.88,15.7
Micronesia (Federated States of),Developing,68.5,172,0,2.06,0,89,0,65.8,0,81,13.44,91,0.1,,,0.629,11.4
Sao Tome and Principe,Developing,66.9,194,0,0.01,8.198047581,96,0,28.5,0,96,8.6,96,0.5,138.949959,182889,0.553,10.8
Micronesia (Federated States of),Developing,68.2,175,0,1.64,0,9,0,64.7,0,79,11.99,79,0.1,,,0.625,11
Guinea,Developing,58.1,29,28,0.22,42.2547904,63,11,21.2,43,63,4.73,63,2,459.2912,113517,0.385,8.4
South Sudan,Developing,52,382,30,,0,,0,,48,,,,3.3,,7237276,0,0
Gabon,Developing,61.7,31,2,8.64,52.31086276,79,0,33,3,74,3.43,76,8,763.66223,1586754,0.652,12.4
Australia,Developed,81.3,66,1,10.76,8547.292357,94,65,62.9,1,92,8.78,92,0.1,49664.6854,212492,0.921,19.1
Fiji,Developing,68.5,211,0,2.06,52.1241634,99,136,55.9,0,98,3.84,98,0.1,3749.939813,827411,0.695,14
Armenia,Developing,74.8,118,1,,0,94,33,54.9,1,96,,94,0.1,369.654776,291695,0.741,12.7
Fiji,Developing,68.6,29,0,2.09,5.889526221,99,0,56.6,0,99,3.74,99,0.1,478.82327,834812,0.698,14.2
Zambia,Developing,47.9,578,36,2.46,8.369851529,,35,18,59,84,7.33,83,17.6,53.2772217,11731746,0.456,10.5
Angola,Developing,47.7,381,90,5.84,25.08688824,,765,18.2,143,36,4.54,34,2.5,262.415149,2262399,0.439,7.2
Mali,Developing,55,282,56,0.55,81.8405007,74,2,19,96,76,6.97,74,1.7,595.6368319,1367566,0.363,6.4
Lesotho,Developing,49.3,543,5,3.1,29.86616464,,660,24.9,7,82,6.92,83,29.8,474.8197876,1868699,0.445,9.6
Montenegro,Developing,73.8,13,0,5.38,595.7306923,9,0,56.5,0,9,8.1,9,0.1,4383.59597,61525,0.751,13.2
Ukraine,Developing,67.7,267,5,7.99,29.38172706,96,42724,56.8,6,99,6.39,98,0.8,233.18831,4678775,0.716,14.7
Philippines,Developing,67.2,217,67,4.44,0.901149288,52,10511,19.2,87,85,3.25,84,0.1,11.553196,8331954,0.631,11.6
Lebanon,Developing,74.8,99,1,1.32,140.3771361,81,112,65.4,1,75,6.39,81,0.1,8161.4614,563279,0.763,13.3
South Africa,Developing,59.2,48,43,7.38,1089.954838,68,32,48.7,56,65,8.79,65,7.6,7548.163698,5256515.8,0.644,12.8
Lesotho,Developing,49.4,566,4,2.75,104.3144732,91,0,29.2,6,89,9.8,91,18.2,923.136931,21929,0.453,10.8
Côte d'Ivoire,Developing,47.8,467,65,3.15,0,1,5790,19.9,94,7,4.85,66,7,,,,
Azerbaijan,Developing,78,132,6,2.1,22.48638351,74,0,47.3,6,84,5.85,81,0.1,495.294791,8947243,0.728,11.6
Cabo Verde,Developing,71.8,134,0,4.26,3.349816965,93,0,24.3,0,95,4.86,95,0.8,248.13459,474567,0.582,11.2
Guinea,Developing,52.9,337,35,0.21,21.3378184,,2151,17.3,56,56,3.76,53,3,322.811171,9137345,0.329,5.5
Bahrain,Developing,74.9,87,0,1.99,106.4303336,98,8,55,0,98,3.89,98,0.1,1312.33457,,0.796,13.5
The former Yugoslav republic of Macedonia,Developing,73.2,126,0,2.4,0,,18,54.1,0,96,9.17,96,0.1,,,0,11.9
China,Developing,76.1,85,157,,0,99,42361,32.9,183,99,,99,0.1,869.211938,137122,0.734,13.5
Bulgaria,Developed,72.9,155,1,10.98,107.9826127,96,1,61.5,1,96,6.61,95,0.1,7296.122479,7492561,0.761,13.8
Swaziland,Developing,58.4,382,2,0.01,574.3895102,98,0,31.8,3,98,9.25,98,7.3,3464.35169,129597,0.541,11.4
Mauritania,Developing,61,229,7,0.01,28.782245,,1398,21.7,12,75,4.34,75,1.2,464.229758,279729,0.444,6.5
Democratic Republic of the Congo,Developing,52.8,332,231,1.83,0,,21956,16.1,331,47,3.2,41,2.2,,,,
Grenada,Developing,74,182,0,9.4,676.5453878,,0,37.7,0,97,6.62,97,0.1,5117.589923,,0,14.1
Belgium,Developed,78.8,91,1,12.05,5160.508378,64,61,59.8,1,96,9.32,95,0.1,35589.71295,1421137,0.88,18.8
Australia,Developed,81,67,1,10.3,579.1331637,95,10,61.5,2,92,8.45,92,0.1,3416.71483,23948,0.91,20.3
Timor-Leste,Developing,68.3,152,2,,0,76,43,17.4,2,75,,76,0.1,1161.76935,124977,0.603,12.5
Venezuela (Bolivarian Republic of),Developing,73.3,161,10,7.55,0,82,0,55.9,11,83,4.78,86,0.1,,,0.687,11.6
South Sudan,Developing,49.6,381,30,,0,,0,,49,,,,3,,6974442,0,0
